driverId,year,total_points,races_entered,dnfs,avg_grid,avg_finish,completed_races,ref,constructor
840,2022,18.0,22,2,14.8,11.45,13,stroll,117
848,2022,4.0,21,4,15.411764705882353,12.764705882352942,9,albon,3
817,2022,34.0,22,3,11.68421052631579,11.631578947368421,14,ricciardo,1
846,2022,116.0,22,2,8.15,7.8,18,norris,1
849,2022,2.0,22,4,17.38888888888889,15.777777777777779,7,latifi,3
807,2022,0.0,2,0,17.0,14.5,2,hulkenberg,117
815,2022,291.0,22,2,4.4,3.95,19,perez,9
830,2022,433.0,22,1,3.4761904761904763,2.8095238095238093,20,max_verstappen,9
20,2022,37.0,20,2,12.444444444444445,10.555555555555555,13,vettel,117
856,2022,2.0,1,0,8.0,9.0,1,de_vries,3
815,2023,260.0,22,2,7.7,4.5,19,perez,9
830,2023,530.0,22,0,3.1818181818181817,1.2727272727272727,22,max_verstappen,9
4,2023,198.0,22,2,6.0,5.6,20,alonso,117
847,2023,157.0,22,3,6.7368421052631575,6.631578947368421,18,russell,131
1,2023,217.0,22,2,6.4,4.9,20,hamilton,131
832,2023,178.0,22,2,5.55,6.3,19,sainz,6
844,2023,185.0,22,5,5.117647058823529,4.882352941176471,17,leclerc,6
825,2023,3.0,22,4,11.777777777777779,14.88888888888889,7,kevin_magnussen,210
807,2023,6.0,22,1,9.761904761904763,14.285714285714286,10,hulkenberg,210
855,2023,6.0,22,3,14.473684210526315,13.421052631578947,12,zhou,51
856,2023,0.0,10,1,14.222222222222221,15.444444444444445,3,de_vries,213
858,2023,1.0,22,5,16.88235294117647,15.0,9,sargeant,3
846,2023,184.0,22,1,7.619047619047619,7.428571428571429,18,norris,1
822,2023,10.0,22,3,12.421052631578947,13.368421052631579,12,bottas,51
848,2023,25.0,22,4,11.777777777777779,11.11111111111111,15,albon,3
840,2023,68.0,22,4,10.333333333333334,9.333333333333334,16,stroll,117
817,2023,6.0,7,0,13.714285714285714,12.714285714285714,4,ricciardo,213
830,2024,241.0,13,1,2.0,2.25,12,max_verstappen,9
815,2024,111.0,13,2,6.181818181818182,5.909090909090909,10,perez,9
832,2024,142.0,12,1,4.363636363636363,4.090909090909091,11,sainz,6
844,2024,148.0,13,1,4.666666666666667,4.833333333333333,11,leclerc,6
847,2024,110.0,13,1,6.416666666666667,6.416666666666667,11,russell,131
846,2024,180.0,13,0,3.3846153846153846,4.615384615384615,12,norris,1
1,2024,115.0,13,1,7.25,5.666666666666667,12,hamilton,131
857,2024,137.0,13,0,5.3076923076923075,5.384615384615385,13,piastri,1
